category,revenue,revenue_pct,cumulative_pct,pareto_flag
health_beauty,1258681.34,9.260699940214003,9.260699940214003,Top 80%
watches_gifts,1205005.68,8.865783319496522,18.126483259710525,Top 80%
bed_bath_table,1036988.68,7.629604651864145,25.75608791157467,Top 80%
sports_leisure,988048.97,7.269532602594637,33.025620514169304,Top 80%
computers_accessories,911954.32,6.709669118239173,39.73528963240848,Top 80%
furniture_decor,729762.49,5.369199679653168,45.104489312061645,Top 80%
cool_stuff,635290.85,4.674128192456958,49.77861750451861,Top 80%
housewares,632248.66,4.651745395591853,54.43036290011046,Top 80%
auto,592720.11,4.360915596985522,58.79127849709598,Top 80%
garden_tools,485256.46,3.5702558918609677,62.36153438895695,Top 80%
toys,483946.6,3.560618646882275,65.92215303583922,Top 80%
baby,411764.89,3.0295444692977056,68.95169750513692,Top 80%
perfumery,399124.87,2.9365460043659035,71.88824350950283,Top 80%
telephony,323667.52999999997,2.3813715040219896,74.26961501352481,Top 80%
office_furniture,273960.7,2.015655398618197,76.285270412143,Top 80%
stationery,230943.23,1.6991560042145601,77.98442641635756,Top 80%
computers,222963.13,1.6404427229062812,79.62486913926385,Top 80%
pet_shop,214315.41,1.5768174529177807,81.20168659218163,Bottom 20%
musical_instruments,191498.88,1.4089457038959903,82.61063229607763,Bottom 20%
small_appliances,190648.58,1.4026896540850315,84.01332195016266,Bottom 20%
unknown,185049.76,1.3614965495306504,85.37481849969332,Bottom 20%
electronics,160246.74,1.1790092761186788,86.553827775812,Bottom 20%
consoles_games,157465.22,1.1585443488339826,87.71237212464598,Bottom 20%
fashion_bags_accessories,152823.54,1.1243933653146014,88.83676548996058,Bottom 20%
construction_tools_construction,144677.59,1.0644598489585186,89.9012253389191,Bottom 20%
luggage_accessories,140429.98,1.0332082204303223,90.93443355934943,Bottom 20%
home_appliances_2,113317.74,0.8337309489653558,91.76816450831478,Bottom 20%
home_construction,83088.12,0.6113176730787903,92.37948218139357,Bottom 20%
home_appliances,80171.53,0.58985897342203,92.9693411548156,Bottom 20%
agro_industry_and_commerce,72530.47,0.5336401659793364,93.50298132079493,Bottom 20%
furniture_living_room,68916.56,0.507050961025413,94.01003228182034,Bottom 20%
fixed_telephony,59583.0,0.43837964940178653,94.44841193122213,Bottom 20%
home_confort,58572.04,0.4309415497700253,94.87935348099215,Bottom 20%
air_conditioning,55024.96,0.4048440439915299,95.28419752498368,Bottom 20%
audio,50688.5,0.37293870497797116,95.65713622996165,Bottom 20%
small_appliances_home_oven_and_coffee,47445.71,0.34908000126577776,96.00621623122743,Bottom 20%
books_general_interest,46856.88,0.3447477070047091,96.35096393823214,Bottom 20%
kitchen_dining_laundry_garden_furniture,46328.37,0.3408592148424256,96.69182315307457,Bottom 20%
construction_tools_lights,41080.0,0.30224453279333685,96.9940676858679,Bottom 20%
construction_tools_safety,40544.52,0.29830475912195964,97.29237244498987,Bottom 20%
industry_commerce_and_business,39669.61,0.2918676421748755,97.58424008716474,Bottom 20%
food,29393.41,0.21626089271307192,97.80050097987781,Bottom 20%
market_place,28378.47,0.20879351038314817,98.00929449026096,Bottom 20%
costruction_tools_garden,25715.89,0.1892036796108774,98.19849816987184,Bottom 20%
art,24202.64,0.17807000046653668,98.37656817033837,Bottom 20%
fashion_shoes,23562.77,0.1733621813526498,98.54993035169102,Bottom 20%
drinks,22428.7,0.16501830459254904,98.71494865628357,Bottom 20%
signaling_and_security,21509.23,0.1582533391454339,98.873201995429,Bottom 20%
furniture_bedroom,20028.78,0.14736098474976944,99.02056298017877,Bottom 20%
books_technical,19096.06,0.14049853293314335,99.1610615131119,Bottom 20%
costruction_tools_tools,15903.95,0.11701270538750218,99.27807421849941,Bottom 20%
food_drink,15179.48,0.11168244500111492,99.38975666350052,Bottom 20%
fashion_male_clothing,10797.82,0.07944454871194129,99.46920121221247,Bottom 20%
fashion_underwear_beach,9541.55,0.07020159011378439,99.53940280232625,Bottom 20%
christmas_supplies,8800.82,0.06475169739771798,99.60415449972398,Bottom 20%
tablets_printing_image,7528.41,0.05538998936530392,99.65954448908928,Bottom 20%
cine_photo,6933.46,0.05101266743771396,99.710557156527,Bottom 20%
music,6034.35,0.04439749991386252,99.75495465644086,Bottom 20%
dvds_blu_ray,5999.39,0.04414028304759049,99.79909493948846,Bottom 20%
books_imported,4639.85,0.03413751936419582,99.83323245885265,Bottom 20%
party_supplies,4485.18,0.03299954073987387,99.86623199959253,Bottom 20%
furniture_mattress_and_upholstery,4368.08,0.03213798195725216,99.89836998154978,Bottom 20%
fashio_female_clothing,2803.64,0.020627674340815746,99.91899765589059,Bottom 20%
fashion_sport,2119.51,0.015594213965452908,99.93459186985605,Bottom 20%
la_cuisine,2054.99,0.015119510526898229,99.94971138038295,Bottom 20%
arts_and_craftmanship,1814.01,0.013346509370312584,99.96305788975326,Bottom 20%
diapers_and_hygiene,1567.59,0.011533483621263555,99.97459137337452,Bottom 20%
flowers,1110.04,0.008167076951847995,99.98275845032637,Bottom 20%
home_comfort_2,760.27,0.0055936575206131985,99.98835210784698,Bottom 20%
cds_dvds_musicals,730.0,0.0053709471504171345,99.99372305499739,Bottom 20%
fashion_childrens_clothes,569.85,0.004192649635157814,99.99791570463255,Bottom 20%
security_and_services,283.28999999999996,0.0020842953674543425,100.0,Bottom 20%
