category,revenue,revenue_pct,cumulative_pct,pareto_flag
health_beauty,1258681.34,9.260699940214003,9.260699940214003,Top 80%
watches_gifts,1205005.68,8.865783319496522,18.126483259710525,Top 80%
bed_bath_table,1036988.68,7.629604651864145,25.75608791157467,Top 80%
sports_leisure,988048.97,7.269532602594637,33.025620514169304,Top 80%
computers_accessories,911954.32,6.709669118239173,39.73528963240848,Top 80%
furniture_decor,729762.49,5.369199679653168,45.104489312061645,Top 80%
cool_stuff,635290.85,4.674128192456958,49.77861750451861,Top 80%
housewares,632248.66,4.651745395591853,54.43036290011046,Top 80%
auto,592720.11,4.360915596985522,58.79127849709598,Top 80%
garden_tools,485256.46,3.570255891860968,62.36153438895695,Top 80%
toys,483946.6,3.560618646882275,65.92215303583922,Top 80%
baby,411764.89,3.0295444692977056,68.95169750513692,Top 80%
perfumery,399124.87,2.9365460043659035,71.88824350950283,Top 80%
telephony,323667.53,2.3813715040219896,74.26961501352481,Top 80%
office_furniture,273960.7,2.015655398618197,76.285270412143,Top 80%
stationery,230943.23,1.69915600421456,77.98442641635756,Top 80%
computers,222963.13,1.6404427229062812,79.62486913926385,Top 80%
pet_shop,214315.41,1.5768174529177807,81.20168659218163,Bottom 20%
musical_instruments,191498.88,1.4089457038959905,82.61063229607763,Bottom 20%
small_appliances,190648.58,1.4026896540850315,84.01332195016266,Bottom 20%
unknown,185049.76,1.3614965495306504,85.37481849969332,Bottom 20%
electronics,160246.74,1.1790092761186788,86.553827775812,Bottom 20%
consoles_games,157465.22,1.1585443488339826,87.71237212464598,Bottom 20%
fashion_bags_accessories,152823.54,1.1243933653146014,88.83676548996058,Bottom 20%
construction_tools_construction,144677.59,1.0644598489585186,89.9012253389191,Bottom 20%
luggage_accessories,140429.98,1.0332082204303223,90.93443355934944,Bottom 20%
home_appliances_2,113317.74,0.8337309489653558,91.76816450831478,Bottom 20%
home_construction,83088.12,0.6113176730787903,92.37948218139356,Bottom 20%
home_appliances,80171.53,0.58985897342203,92.9693411548156,Bottom 20%
agro_industry_and_commerce,72530.47,0.5336401659793364,93.50298132079492,Bottom 20%
furniture_living_room,68916.56,0.507050961025413,94.01003228182034,Bottom 20%
fixed_telephony,59583.0,0.4383796494017865,94.44841193122213,Bottom 20%
home_confort,58572.04,0.4309415497700253,94.87935348099217,Bottom 20%
air_conditioning,55024.96,0.4048440439915299,95.28419752498368,Bottom 20%
audio,50688.5,0.3729387049779711,95.65713622996164,Bottom 20%
small_appliances_home_oven_and_coffee,47445.71,0.3490800012657777,96.00621623122744,Bottom 20%
books_general_interest,46856.88,0.3447477070047091,96.35096393823214,Bottom 20%
kitchen_dining_laundry_garden_furniture,46328.37,0.3408592148424256,96.69182315307457,Bottom 20%
construction_tools_lights,41080.0,0.3022445327933368,96.9940676858679,Bottom 20%
construction_tools_safety,40544.52,0.2983047591219596,97.29237244498988,Bottom 20%
industry_commerce_and_business,39669.61,0.2918676421748755,97.58424008716474,Bottom 20%
food,29393.41,0.2162608927130719,97.8005009798778,Bottom 20%
market_place,28378.47,0.2087935103831481,98.00929449026096,Bottom 20%
costruction_tools_garden,25715.89,0.1892036796108774,98.19849816987184,Bottom 20%
art,24202.64,0.1780700004665366,98.37656817033836,Bottom 20%
fashion_shoes,23562.77,0.1733621813526498,98.54993035169102,Bottom 20%
drinks,22428.7,0.165018304592549,98.71494865628355,Bottom 20%
signaling_and_security,21509.23,0.1582533391454339,98.873201995429,Bottom 20%
furniture_bedroom,20028.78,0.1473609847497694,99.02056298017877,Bottom 20%
books_technical,19096.06,0.1404985329331433,99.1610615131119,Bottom 20%
costruction_tools_tools,15903.95,0.1170127053875021,99.2780742184994,Bottom 20%
food_drink,15179.48,0.1116824450011149,99.38975666350052,Bottom 20%
fashion_male_clothing,10797.82,0.0794445487119412,99.46920121221248,Bottom 20%
fashion_underwear_beach,9541.55,0.0702015901137843,99.53940280232624,Bottom 20%
christmas_supplies,8800.82,0.0647516973977179,99.60415449972398,Bottom 20%
tablets_printing_image,7528.41,0.0553899893653039,99.65954448908928,Bottom 20%
cine_photo,6933.46,0.0510126674377139,99.710557156527,Bottom 20%
music,6034.35,0.0443974999138625,99.75495465644086,Bottom 20%
dvds_blu_ray,5999.39,0.0441402830475904,99.79909493948846,Bottom 20%
books_imported,4639.85,0.0341375193641958,99.83323245885263,Bottom 20%
party_supplies,4485.18,0.0329995407398738,99.86623199959251,Bottom 20%
furniture_mattress_and_upholstery,4368.08,0.0321379819572521,99.89836998154978,Bottom 20%
fashio_female_clothing,2803.64,0.0206276743408157,99.9189976558906,Bottom 20%
fashion_sport,2119.51,0.0155942139654529,99.93459186985604,Bottom 20%
la_cuisine,2054.99,0.0151195105268982,99.94971138038296,Bottom 20%
arts_and_craftmanship,1814.01,0.0133465093703125,99.96305788975326,Bottom 20%
diapers_and_hygiene,1567.59,0.0115334836212635,99.97459137337452,Bottom 20%
flowers,1110.04,0.0081670769518479,99.98275845032636,Bottom 20%
home_comfort_2,760.27,0.0055936575206131,99.98835210784698,Bottom 20%
cds_dvds_musicals,730.0,0.0053709471504171,99.9937230549974,Bottom 20%
fashion_childrens_clothes,569.85,0.0041926496351578,99.99791570463256,Bottom 20%
security_and_services,283.29,0.0020842953674543,100.0,Bottom 20%
